model,type,mae_train,mae_test,rmse_train,rmse_test,r2_train,r2_test,mape_train,mape_test,medae_train,medae_test,ev_train,ev_test
LSTM_1722537723,best_combined,7.771111965179443,6.679502487182617,10.44121265411377,8.407923698425293,0.9132655138471768,-0.4739999830998773,0.18815217912197113,0.42501139640808105,5.7757954597473145,5.814798831939697,0.9133633971214294,-0.30294986565907794
LSTM_1722537723,best_test,9.06485652923584,6.002176284790039,12.440295219421387,7.4494781494140625,0.8645571099063418,-0.9466699906414391,0.22037571668624878,0.3953998386859894,6.543196201324463,5.545820713043213,0.8687818249066671,-0.7766590515772501
LSTM_1722537723,best_train,7.759895324707031,6.756443023681641,10.382011413574219,8.50732135772705,0.9157568796934926,-0.44325438985441307,0.18672578036785126,0.4287518560886383,5.707843780517578,5.800880432128906,0.9157689015070597,-0.267367164293925
LSTM_1722537723,last,7.753683090209961,6.813272953033447,10.425626754760742,8.550256729125977,0.9111628466979681,-0.5062067762816712,0.18717318773269653,0.42610540986061096,5.789381504058838,5.902519226074219,0.9114023645718893,-0.305405060450236
LSTM_1722538189,best_combined,10.182534217834473,6.4636054039001465,13.860421180725098,7.867753982543945,0.8335854857171833,-0.5424897210520396,0.2529580593109131,0.43455660343170166,7.192228317260742,6.04831075668335,0.8380531668663025,-0.41231032212575275
LSTM_1722538189,best_test,10.182534217834473,6.4636054039001465,13.860421180725098,7.867753982543945,0.8335854857171833,-0.5424897210520396,0.2529580593109131,0.43455660343170166,7.192228317260742,6.04831075668335,0.8380531668663025,-0.41231032212575275
LSTM_1722538189,best_train,10.148320198059082,7.190189361572266,13.690657615661621,8.554244995117188,0.8406698311078363,-0.5880175038695232,0.23579102754592896,0.433758020401001,7.752610683441162,6.7935967445373535,0.8407181700070699,-0.26394593715667725
LSTM_1722538189,last,10.182534217834473,6.4636054039001465,13.860421180725098,7.867753982543945,0.8335854857171833,-0.5424897210520396,0.2529580593109131,0.43455660343170166,7.192228317260742,6.04831075668335,0.8380531668663025,-0.41231032212575275
LSTM_1722538357,best_combined,9.927926063537598,7.365901947021484,13.554522514343262,8.733617782592773,0.8455345245397545,-0.9959243645532458,0.23187761008739471,0.44301947951316833,7.250167369842529,6.720680236816406,0.845921536286672,-0.6652211348215739
LSTM_1722538357,best_test,10.594889640808105,6.593428134918213,14.326919555664062,8.014239311218262,0.8242125690291527,-0.6867349621718551,0.2663424015045166,0.43495678901672363,7.797889232635498,6.018713474273682,0.8293382922808329,-0.49973106384277344
LSTM_1722538357,best_train,9.93532657623291,7.4899115562438965,13.522163391113281,8.878246307373047,0.8489459635278004,-0.9700368138448289,0.2287079244852066,0.4432501792907715,7.383847713470459,6.861396789550781,0.8489519357681274,-0.6079319715499878
